,Encoding,CRF,TMO,Temporal,Spatial,Content,SurealMOS
32,pq,23,ITU21TMO,smooth,peak_hdr_100000.0,CargoBoat,43.26873551276221
33,hlg,23,ITU21TMO,smooth,peak_hdr_10000.0,Sunset1,47.64395878419947
34,pq,23,Rana19TMO,smooth,desat_0.0,Flowers,48.8722974751754
35,pq,39,Eilertsen15TMO,framewise,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,Flowers,58.64073083533043
36,pq,39,HableTMO,shot,desat_0.75,Chasing1,35.7897220207431
37,hlg,39,Rana19TMO,shot,desat_0.75,Snow1,36.85184775794448
38,pq,39,Rana19TMO,framewise,desat_0.25,Daylight1,21.790467976770366
39,hlg,31,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.0,Buildings,61.096818748431396
40,hlg,39,Shan12TMO,shot,wavelet_haar_levels_1,Sunset1,41.45129586659659
41,pq,31,Eilertsen15TMO,framewise,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,Chasing3,51.49149862720841
42,hlg,39,Reinhard12TMO,smooth,viewing_cond_red,Snow2,45.24175324892237
43,pq,31,ColorTransformTMO,smooth,None,CargoBoat,50.94300919884021
44,pq,39,Rana19TMO,shot,desat_0.0,CargoBoat,28.546428023923777
45,hlg,39,Reinhard12TMO,framewise,viewing_cond_red,Lights2,51.955105153569384
46,hlg,23,HableTMO,smooth,desat_0.25,Sunset1,50.1779839896993
47,pq,39,HableTMO,shot,desat_0.25,Flowers,52.03862431415122
48,pq,39,Reinhard12TMO,framewise,viewing_cond_neutral,CargoBoat,37.84072116270255
49,hlg,39,Reinhard12TMO,smooth,viewing_cond_neutral,Lights2,49.99269790607313
50,hlg,23,Rana19TMO,framewise,desat_0.25,Sunset1,42.523354997923924
51,pq,39,Yang21TMO,framewise,desat_0.5,Chasing3,44.199735259687706
52,pq,31,Oskarsson17TMO,framewise,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Daylight1,43.451057437247016
53,pq,39,HableTMO,smooth,desat_0.75,Chasing1,38.19513289457037
54,hlg,31,Durand02TMO,shot,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Snow2,55.95498087925394
55,hlg,39,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.0,Snow1,52.086993636914706
56,pq,31,Shan12TMO,shot,wavelet_haar_levels_1,CargoBoat,41.02889717959701
57,hlg,31,Yang21TMO,shot,desat_0.5,Buildings,47.97049439106797
58,hlg,23,Shan12TMO,framewise,wavelet_haar_levels_4,Buildings,54.830699176210835
59,hlg,39,ITU21TMO,framewise,peak_hdr_1000000.0,Snow1,40.75095734042224
60,pq,23,Yang21TMO,smooth,desat_0.5,Chasing1,63.01601273072195
61,pq,31,ExpertTM,None,None,Daylight1,55.44145746022289
62,hlg,31,Shan12TMO,framewise,wavelet_haar_levels_2,Snow1,55.05617160145632
63,pq,23,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.0,Flowers,71.38491250010951
64,hlg,31,Oskarsson17TMO,shot,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,Snow2,46.27615192689627
65,pq,23,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.25,Chasing1,67.76344875831995
66,pq,31,ITU21TMO,smooth,peak_hdr_100000.0,Chasing3,45.64339896084188
67,hlg,31,Reinhard12TMO,shot,viewing_cond_neutral,Snow2,55.88335521313652
68,hlg,39,Durand02TMO,framewise,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Lights2,56.40301464114333
69,pq,23,DolbyVisionTMO,smooth,None,Chasing1,76.02062949890711
70,pq,39,Rana19TMO,framewise,desat_0.5,Daylight1,22.923450520795587
71,pq,39,Rana19TMO,smooth,desat_0.75,Chasing3,32.210067888061914
72,hlg,39,HableTMO,smooth,desat_0.25,Lights2,50.536271882900195
73,hlg,31,Durand02TMO,shot,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sunset1,51.88124027733877
74,pq,39,Durand02TMO,smooth,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,CargoBoat,39.15441719746052
75,pq,23,ITU21TMO,framewise,peak_hdr_1000000.0,Light4,44.69562597046297
76,hlg,31,Rana19TMO,framewise,desat_0.25,Sunset2,41.57902919933328
77,pq,23,Oskarsson17TMO,framewise,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,OfficeBuilding,52.377019084350394
78,pq,23,Yang21TMO,smooth,desat_0.5,OfficeBuilding,53.27019300491121
79,pq,39,Eilertsen15TMO,smooth,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,UrbanLandmark,49.35056307084856
80,hlg,31,Durand02TMO,framewise,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sunset2,54.30204013521814
81,hlg,31,Oskarsson17TMO,smooth,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,Lights1,47.54629816600937
82,hlg,31,DolbyVisionTMO,smooth,None,Lights1,66.69560439502084
83,pq,39,Yang21TMO,framewise,desat_0.0,Porsche,47.1905958992835
84,pq,31,HableTMO,framewise,desat_0.0,Light4,64.37770283906893
85,hlg,31,ColorTransformTMO,smooth,None,CoffeeShop,63.5160492311285
86,hlg,23,Eilertsen15TMO,shot,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,Sunset2,51.38159225094782
87,pq,39,Oskarsson17TMO,shot,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Light4,46.480558391527325
88,pq,39,Reinhard12TMO,framewise,viewing_cond_red,Bonfire,41.113473175476265
89,hlg,31,Rana19TMO,framewise,desat_0.0,Lights1,45.1404444533145
90,hlg,39,Durand02TMO,framewise,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sunset2,51.07005953760968
91,hlg,23,Reinhard12TMO,shot,viewing_cond_blue,Moon,59.56348667793368
92,pq,39,Oskarsson17TMO,shot,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,Bonfire,33.14444804743784
93,pq,31,HableTMO,shot,desat_0.5,OfficeBuilding,43.005764766237796
94,hlg,23,Rana19TMO,smooth,desat_0.0,Hockey,46.001208710973415
95,pq,31,HableTMO,framewise,desat_0.75,Bonfire,35.837967778308844
96,hlg,31,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.75,Sunset2,41.19507385364607
97,pq,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.25,UrbanLandmark,50.631811960994874
98,hlg,39,Eilertsen15TMO,smooth,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Lights1,42.24982170546919
99,pq,39,Reinhard12TMO,smooth,viewing_cond_green,Porsche,57.896285110754576
100,pq,39,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Bonfire,35.505805370655104
101,hlg,39,Oskarsson17TMO,smooth,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Sunset2,44.4218944417359
102,hlg,23,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,CoffeeShop,56.92707467055446
103,pq,23,Shan12TMO,framewise,wavelet_haar_levels_2,Porsche,65.64281063985656
104,pq,23,Oskarsson17TMO,smooth,num_clusters_64_hist_context_7_channelwise_model_weight_0.7,OfficeBuilding,53.73129589591
105,pq,39,Eilertsen15TMO,framewise,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Porsche,65.96810675547152
106,hlg,31,ITU21TMO,smooth,peak_hdr_10000.0,Hockey,45.32575907647904
107,pq,31,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,UrbanLandmark,53.622894353309746
108,pq,31,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.25,OfficeBuilding,54.853110347115674
109,hlg,23,Reinhard12TMO,framewise,viewing_cond_blue,Moon,61.92467434827081
110,hlg,39,Shan12TMO,framewise,wavelet_haar_levels_1,CoffeeShop,45.052664119083396
111,hlg,31,Yang21TMO,shot,desat_0.5,Hockey,41.16909615834785
112,hlg,39,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.75,Moon,34.46682756506818
113,pq,39,Rana19TMO,smooth,desat_0.0,UrbanLandmark,30.997108418207777
114,hlg,31,Reinhard12TMO,smooth,viewing_cond_blue,Moon,48.52177688356116
115,pq,39,Yang21TMO,framewise,desat_0.25,OfficeBuilding,43.162562506179164
116,hlg,31,ITU21TMO,shot,peak_hdr_100000.0,Lights1,58.46206047302415
117,pq,39,Oskarsson17TMO,framewise,num_clusters_64_hist_context_7_channelwise_model_weight_0.7,Light4,48.65659358664348
118,pq,31,Reinhard12TMO,framewise,viewing_cond_green,Porsche,66.82220794846488
119,pq,39,Shan12TMO,smooth,wavelet_haar_levels_4,Porsche,50.28061262268344
120,hlg,31,ITU21TMO,shot,peak_hdr_1000000.0,Moon,46.227187855471534
121,hlg,31,Yang21TMO,smooth,desat_0.25,CoffeeShop,46.52561132500441
122,hlg,23,Shan12TMO,smooth,wavelet_haar_levels_1,Hockey,56.68398584008733
123,hlg,31,ITU21TMO,framewise,peak_hdr_10000.0,CoffeeShop,59.3638201330151
124,pq,39,ITU21TMO,framewise,peak_hdr_1000.0,Light4,34.23813337775497
125,hlg,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.75,Lights1,46.242221019303976
126,pq,31,HableTMO,shot,desat_0.75,UrbanLandmark,35.35525583992881
127,pq,31,Durand02TMO,shot,num_segments_None_base_contrast_10000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Porsche,72.180653179506
128,pq,39,HableTMO,framewise,desat_0.5,Light4,46.95608647751117
129,hlg,31,Reinhard12TMO,shot,viewing_cond_blue,Lights1,62.10271108910079
130,hlg,23,ColorTransformTMO,smooth,None,Hockey,46.97282888113623
131,hlg,39,Rana19TMO,smooth,desat_0.25,Moon,31.963584851842107
132,hlg,31,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.0,Moon,43.122639523657526
133,pq,39,ExpertTM,None,None,Porsche,74.12916512696721
134,hlg,39,Yang21TMO,smooth,desat_0.25,Hockey,35.82047785040024
135,hlg,31,Yang21TMO,shot,desat_0.25,Sunset2,48.66834175668892
136,pq,23,Oskarsson17TMO,smooth,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,OfficeBuilding,48.4534475019686
137,pq,23,Yang21TMO,smooth,desat_0.75,Bonfire,40.04938371683209
138,hlg,39,Oskarsson17TMO,shot,num_clusters_64_hist_context_7_channelwise_model_weight_0.7,Hockey,39.22300951113337
139,hlg,31,Reinhard12TMO,framewise,viewing_cond_neutral,Sunset2,50.84292592237951
140,pq,31,ExpertTM,None,None,Light4,68.02421418347569
141,pq,31,ITU21TMO,shot,peak_hdr_10000.0,Bonfire,41.52602118807845
142,pq,31,Eilertsen15TMO,smooth,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,Light4,39.008759512279916
143,hlg,23,ITU21TMO,shot,peak_hdr_1000.0,CoffeeShop,63.304140353224966
144,pq,31,Eilertsen15TMO,shot,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Bonfire,58.803900903596436
145,pq,31,HableTMO,smooth,desat_0.5,OfficeBuilding,50.416260095533204
146,hlg,23,Reinhard12TMO,smooth,viewing_cond_blue,CoffeeShop,63.794360654818256
147,pq,39,Yang21TMO,shot,desat_0.75,UrbanLandmark,36.63140180013186
148,pq,23,Eilertsen15TMO,shot,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,Bonfire,61.90459467503602
149,pq,31,Eilertsen15TMO,shot,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,UrbanLandmark,59.38235170382754
150,pq,23,Reinhard12TMO,shot,viewing_cond_green,Bonfire,50.293271510211405
151,pq,39,Durand02TMO,smooth,num_segments_None_base_contrast_10000_downsampling_factor_10_influence_function_gaussian_desat_0.0,CenterPanorama,32.991216228027255
152,hlg,39,ITU21TMO,smooth,peak_hdr_1000.0,Nativity,50.508897935083844
153,hlg,31,Eilertsen15TMO,shot,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Trees,45.01408429351967
154,hlg,23,Oskarsson17TMO,smooth,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Nativity,52.941398858944304
155,pq,31,Shan12TMO,framewise,wavelet_haar_levels_4,football3,40.8241094928205
156,pq,31,Eilertsen15TMO,shot,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,football3,60.022123991618756
157,hlg,39,Yang21TMO,framewise,desat_0.75,Trees,43.46587309138386
158,pq,39,Durand02TMO,smooth,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,CenterPanorama,39.69806831167153
159,pq,31,Eilertsen15TMO,framewise,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,football3,44.4002001453527
160,hlg,31,Shan12TMO,framewise,wavelet_haar_levels_1,Trees,62.1416484461472
161,pq,31,HableTMO,framewise,desat_0.0,Light2,55.626175239603214
162,pq,31,Oskarsson17TMO,framewise,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,Light2,44.60127110861977
163,hlg,39,Eilertsen15TMO,shot,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,Sunroom,53.26325283982674
164,hlg,23,Shan12TMO,shot,wavelet_haar_levels_2,Nativity,57.35657854702115
165,hlg,23,Yang21TMO,shot,desat_0.5,Trees,51.44527435090745
166,pq,39,Durand02TMO,framewise,num_segments_None_base_contrast_10000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Light2,43.562647171048525
167,pq,31,Oskarsson17TMO,framewise,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,football3,31.481057942389594
168,pq,23,Oskarsson17TMO,smooth,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,firework,45.231430731074475
169,pq,39,Shan12TMO,shot,wavelet_haar_levels_1,golf2,39.41594226889779
170,pq,23,Durand02TMO,framewise,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,firework,51.834661967306644
171,hlg,31,HableTMO,framewise,desat_0.75,Sunroom,47.57836477467712
172,pq,31,Rana19TMO,framewise,desat_0.0,CenterPanorama,29.532487884647445
173,hlg,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.25,Nativity,61.28433078136728
174,hlg,31,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.0,Sunroom,64.77490948488378
175,hlg,31,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.0,Trees,67.76355213537474
176,pq,23,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.25,golf2,58.113272472944
177,pq,39,Shan12TMO,smooth,wavelet_haar_levels_2,golf2,47.79342855587077
178,pq,31,Shan12TMO,shot,wavelet_haar_levels_3,golf2,54.0594989619345
179,pq,31,HableTMO,shot,desat_0.75,football3,33.39666659090899
180,pq,23,HableTMO,shot,desat_0.25,Light2,53.63422401501067
181,pq,39,Rana19TMO,shot,desat_0.75,CenterPanorama,27.600726747191192
182,hlg,39,HableTMO,framewise,desat_0.0,CarPark,45.52229891249742
183,hlg,39,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.75,StainedGlass,41.526206604236485
184,hlg,39,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.25,Sunroom,46.417392988740964
185,pq,23,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Light2,49.981563610828594
186,hlg,23,ITU21TMO,shot,peak_hdr_1000000.0,StainedGlass,51.13938888185024
187,hlg,39,Shan12TMO,smooth,wavelet_haar_levels_3,StainedGlass,50.70640934938828
188,hlg,39,Durand02TMO,shot,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,CarPark,50.736155557207574
189,pq,39,Yang21TMO,shot,desat_0.75,CenterPanorama,35.15458818729309
190,hlg,23,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.0,CarPark,59.06696518616592
191,pq,31,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.75,firework,45.9864128479192
192,pq,23,Eilertsen15TMO,shot,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,firework,63.71627927925482
193,pq,23,Durand02TMO,smooth,num_segments_None_base_contrast_10000_downsampling_factor_10_influence_function_gaussian_desat_0.0,CenterPanorama,40.12016979812428
194,hlg,39,Eilertsen15TMO,framewise,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,CarPark,42.38790120974375
195,hlg,31,Rana19TMO,shot,desat_0.25,Nativity,52.41202955561652
196,pq,31,Eilertsen15TMO,smooth,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,Light2,44.230433830338306
197,hlg,39,Shan12TMO,framewise,wavelet_haar_levels_4,Trees,53.16364518473663
198,pq,23,Rana19TMO,smooth,desat_0.25,golf2,36.32471786210102
199,pq,39,Reinhard12TMO,framewise,viewing_cond_red,football3,39.43583949847737
200,pq,39,HableTMO,framewise,desat_0.75,golf2,33.69456986888935
201,hlg,23,Shan12TMO,smooth,wavelet_haar_levels_2,CarPark,55.8367078729213
202,hlg,39,Eilertsen15TMO,shot,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,StainedGlass,48.780208088948356
203,hlg,39,Yang21TMO,smooth,desat_0.0,CarPark,39.46773240653233
204,hlg,31,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,StainedGlass,52.69932827682901
205,hlg,23,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Trees,57.391221793261515
206,pq,31,Reinhard12TMO,smooth,viewing_cond_neutral,golf2,57.06835913590829
207,pq,31,Reinhard12TMO,framewise,viewing_cond_neutral,football3,54.838604486694855
208,hlg,23,HableTMO,shot,desat_0.5,Nativity,49.28237061490534
209,hlg,31,Oskarsson17TMO,framewise,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Trees,59.07218896701131
210,hlg,39,Rana19TMO,framewise,desat_0.5,Sunroom,39.0972824935306
211,pq,31,Yang21TMO,framewise,desat_0.25,firework,39.16895138697433
212,hlg,23,Reinhard12TMO,shot,viewing_cond_green,CarPark,58.534006325220254
213,pq,31,ColorTransformTMO,smooth,None,CenterPanorama,52.89838690161752
214,pq,31,Durand02TMO,framewise,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,firework,50.0000471897125
215,pq,39,Yang21TMO,framewise,desat_0.5,Light2,38.84012080009927
216,hlg,23,Eilertsen15TMO,smooth,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,StainedGlass,55.41920847367049
217,hlg,31,Durand02TMO,smooth,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Nativity,68.42938278409865
218,hlg,39,ITU21TMO,shot,peak_hdr_1000.0,Sunroom,51.21479467210238
219,hlg,23,Durand02TMO,smooth,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,StainedGlass,62.94855673846237
220,hlg,31,Reinhard12TMO,framewise,viewing_cond_green,Sunroom,59.38406736281907
221,pq,31,ITU21TMO,smooth,peak_hdr_10000.0,firework,46.485378394441916
222,pq,23,Durand02TMO,shot,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,football3,59.739935953950614
223,pq,23,Rana19TMO,shot,desat_0.5,Light2,50.03197580097258
224,hlg,23,HableTMO,shot,desat_0.0,Sunroom,61.99133255211612
225,hlg,23,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.0,StainedGlass,64.98588072815006
226,pq,31,Yang21TMO,smooth,desat_0.0,Skyscraper,59.35723984932183
227,hlg,39,Durand02TMO,smooth,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Fall,54.73524619404567
228,pq,31,Reinhard12TMO,framewise,viewing_cond_blue,Light3,56.98222637895731
229,hlg,23,Yang21TMO,framewise,desat_0.25,Sculpture,49.18717893215203
230,hlg,39,Oskarsson17TMO,framewise,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,Birds,37.01762050884729
231,pq,39,Rana19TMO,smooth,desat_0.5,Skyscraper,31.868533006196863
232,pq,23,Eilertsen15TMO,shot,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,Light3,69.40603407642153
233,pq,23,Eilertsen15TMO,smooth,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,Skyscraper,57.98549389410591
234,pq,23,Eilertsen15TMO,shot,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,CourtYard,71.86152217446316
235,hlg,23,ITU21TMO,shot,peak_hdr_100000.0,Fall,56.98947435378284
236,hlg,31,ITU21TMO,framewise,peak_hdr_1000.0,Snow3,55.954818769355434
237,hlg,31,Shan12TMO,shot,wavelet_haar_levels_1,Blinds,50.750099122867475
238,pq,23,Reinhard12TMO,framewise,viewing_cond_blue,Chasing4,51.11016869071073
239,hlg,31,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sculpture,56.77203224524582
240,hlg,39,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.0,Blinds,46.22061251655348
241,pq,39,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.5,Skyscraper,46.87816812068953
242,hlg,23,Rana19TMO,shot,desat_0.25,Birds,50.67302130266187
243,pq,31,Reinhard12TMO,framewise,viewing_cond_green,NighTraffic,62.018025542092346
244,pq,23,Oskarsson17TMO,smooth,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Skyscraper,59.804516721542875
245,hlg,39,ITU21TMO,framewise,peak_hdr_1000000.0,Fall,48.58118773341504
246,pq,23,Oskarsson17TMO,framewise,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,CourtYard,43.66709897441672
247,pq,39,Reinhard12TMO,smooth,viewing_cond_green,Light3,48.23489509770913
248,hlg,23,Rana19TMO,framewise,desat_0.75,Snow3,40.208881588688065
249,pq,31,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.5,NighTraffic,48.96859351846323
250,pq,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.0,Light3,61.792717053736354
251,pq,39,HableTMO,framewise,desat_0.25,CourtYard,45.82454433911249
252,pq,39,DolbyVisionTMO,smooth,None,NighTraffic,55.20176931271804
253,pq,23,DolbyVisionTMO,framewise,None,NighTraffic,68.94453352610955
254,hlg,31,Shan12TMO,shot,wavelet_haar_levels_4,Sculpture,47.01994959095595
255,hlg,23,Durand02TMO,shot,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sculpture,58.67800919702316
256,pq,39,Rana19TMO,framewise,desat_0.0,Chasing4,31.421253099660287
257,hlg,39,Reinhard12TMO,shot,viewing_cond_green,Blinds,47.66167958142568
258,pq,39,DolbyVisionTMO,framewise,None,Chasing4,50.53305730037499
259,hlg,31,Rana19TMO,framewise,desat_0.25,Fall,47.35719962254763
260,pq,31,Durand02TMO,shot,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Chasing4,46.22814839275766
261,pq,39,Yang21TMO,shot,desat_0.5,NighTraffic,31.453867637127043
262,pq,31,ITU21TMO,smooth,peak_hdr_1000.0,CourtYard,49.65393498131235
263,hlg,23,Oskarsson17TMO,shot,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Birds,44.262564089043124
264,pq,39,Durand02TMO,framewise,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Chasing4,40.5394333740001
265,pq,31,HableTMO,shot,desat_0.25,Light3,51.114963700843816
266,hlg,39,Yang21TMO,framewise,desat_0.0,Snow3,44.175687369218664
267,pq,31,Reinhard12TMO,shot,viewing_cond_green,Chasing4,46.83636740864329
268,hlg,23,Reinhard12TMO,framewise,viewing_cond_neutral,Sculpture,54.73122671031903
269,pq,31,ITU21TMO,framewise,peak_hdr_1000000.0,Light3,48.52684270118522
270,pq,31,DolbyVisionTMO,smooth,None,NighTraffic,64.21377106645133
271,hlg,23,Durand02TMO,smooth,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sculpture,58.05651311347041
